Node ID	CPU Usage (%)	Total number of transactions
Node ID	CPU Usage (%)	Total number of transactions
Node ID	CPU Usage (%)	Total number of transactions
26	27.37	44	
30	27.37	44	
35	27.37	44	
45	27.37	44	
3	27.37	44	
13	27.37	44	
42	27.37	44	
3	10.28	16	
40	10.28	16	
23	10.28	16	
7	10.28	16	
29	10.28	16	
42	10.28	16	
22	10.28	16	
33	10.28	16	
29	10.28	16	
42	10.28	16	
23	10.28	16	
43	10.28	16	
25	10.28	16	
4	10.28	16	
28	10.28	16	
47	10.28	16	
20	10.28	16	
24	23.36	37	
18	23.36	37	
1	23.36	37	
37	23.36	37	
43	23.36	37	
29	23.36	37	
42	23.36	37	
5	23.36	37	
20	23.36	37	
14	23.36	37	
18	23.36	37	
9	23.36	37	
12	23.36	37	
29	23.36	37	
11	23.36	37	
28	6.31	10	
42	6.31	10	
35	6.31	10	
44	6.31	10	
19	6.31	10	
2	6.31	10	
29	6.31	10	
49	6.31	10	
17	50.80	81	
14	50.80	81	
36	50.80	81	
43	50.80	81	
43	50.80	81	
14	50.80	81	
39	50.80	81	
14	50.80	81	
17	50.80	81	
16	50.80	81	
36	50.80	81	
8	50.80	81	
3	34.33	55	
46	34.33	55	
5	34.33	55	
24	34.33	55	
26	34.33	55	
14	34.33	55	
38	34.33	55	
28	34.33	55	
23	34.33	55	
42	47.48	76	
44	47.48	76	
3	47.48	76	
42	47.48	76	
1	47.48	76	
37	47.48	76	
49	47.48	76	
43	61.05	98	
37	61.05	98	
49	61.05	98	
Node ID	CPU Usage (%)	Total number of transactions
28	6.54	10	
2	6.54	10	
23	6.54	10	
12	6.54	10	
17	6.54	10	
1	51.06	82	
47	51.06	82	
41	51.06	82	
25	51.06	82	
4	51.06	82	
44	51.06	82	
41	51.06	82	
32	51.06	82	
3	3.04	5	
4	3.04	5	
15	3.04	5	
4	3.04	5	
23	3.04	5	
46	3.04	5	
1	3.04	5	
17	3.04	5	
22	3.04	5	
17	3.04	5	
2	3.04	5	
17	3.04	5	
20	47.07	75	
33	47.07	75	
22	47.07	75	
8	47.07	75	
16	47.07	75	
41	47.07	75	
12	47.07	75	
30	47.07	75	
15	47.07	75	
32	47.07	75	
20	30.08	48	
25	30.08	48	
4	30.08	48	
4	30.08	48	
