Source_ID Destination_ID Rating Votes
Source_ID Destination_ID Rating Votes
   19           48          6     1
   33           38          4     1
    2           42          3     1
   32           18          4     1
   43           31          1     1
   22           31          9     1
   48           25          5     1
   47           40          3     1
   22           44          6     1
   25            2         10     1
   19           17          1     1
   29            1          3     1
   40           48          9     1
   16            4          9     1
   28           26         10     1
   21           25          5     1
   46           38         10     1
   55           17          0     1
   15           47          0     1
   28           20          0     1
   50           46          7     1
   10           34          8     1
   21           27          1     1
    4           48          3     1
   52           37          7     1
   35           22          6     1
   21            9         10     1
   44           39          7     1
   34            2          1     1
   56           37          0     1
    2           39          2     1
   46           16          8     1
   20           10          6     1
   28           25         10     1
   32           20          2     1
   45           12         10     1
   14           18          6     1
   23           48          5     1
   34           21          7     1
   15           18          3     1
   20           10          6     1
    2           22          5     1
   19            5          2     1
   35           12          1     1
    9           47          2     1
   34           12          8     1
   43           34          8     1
   42            7          1     1
   21           46          5     1
   24           17          7     1
   51            4          1     1
   14           18          6     1
   15           47          0     1
   19            5          2     1
   15           18          3     1
   16           30          0     1
   49            8          3     1
    2           36          2     1
   23            8          5     1
   55           30         10     1
   16           30          0     1
   13           12          2     1
    6           25          7     1
   28            5          7     1
    6           23          9     1
   20           39          4     1
    8           19          3     1
   19            4          9     1
    5           30         10     1
   21           10          1     1
   20           40          9     1
   14            2          6     1
   20           39          4     1
   53           29          1     1
   21           25          3     1
   50           19          2     1
   47           18          2     1
   31            4         10     1
   19           22          4     1
   20           22          6     1
   19            4          9     1
   19            2         10     1
   13           12          2     1
    5           26          7     1
   56           27          6     1
   20            2          4     1
   48            2          3     1
   43           34          2     1
   19           22          4     1
    8           41          0     1
   40           43          0     1
   20           40          9     1
   21           33          9     1
   20           22          6     1
   14            2          6     1
    5           32         10     1
   55           38          5     1
   18           20          0     1
   55           13          4     1
   19            2         10     1
   35           42          1     1
   36           22          0     1
   18           20          0     1
   20            2          4     1
   34           17          5     1
   10           33          5     1
   31           19         10     1
   39           23          0     1
   27           29          8     1
   50           25          3     1
   16           25          4     1
   48           19          2     1
   38           21         10     1
   52           45          9     1
   49           28         10     1
   24           12          3     1
   20           30         10     1
   37           19          1     1
   16           25          4     1
    5            2          4     1
   51           24          7     1
   30           42          4     1
   20           30         10     1
    6            3          1     1
   34           21          4     1
   16            7          3     1
    8           16          8     1
   40           41          5     1
