Node ID	Battery Consumption (%)	TotalNumber of Transactions
23	0.00010139	73	
12	0.00010139	73	
17	0.00010139	73	
1	0.00010139	73	
47	0.00013194	95	
41	0.00013194	95	
25	0.00013194	95	
4	0.00009306	67	
44	0.00005556	40	
41	0.00005556	40	
32	0.00005556	40	
3	0.00001667	12	
4	0.00004722	34	
15	0.00004722	34	
4	0.00000972	7	
23	0.00000972	7	
46	0.00000972	7	
1	0.00000972	7	
17	0.00004028	29	
22	0.00004028	29	
17	0.00004028	29	
Node ID	Battery Consumption (%)	TotalNumber of Transactions
28	0.00004306	31	
2	0.00004306	31	
23	0.00004306	31	
12	0.00004306	31	
17	0.00004306	31	
1	0.00004306	31	
47	0.00000417	3	
41	0.00000417	3	
25	0.00000417	3	
4	0.00000417	3	
44	0.00006528	47	
41	0.00006528	47	
32	0.00006528	47	
3	0.00009444	68	
4	0.00009444	68	
15	0.00005694	41	
4	0.00005694	41	
23	0.00005694	41	
46	0.00001806	13	
1	0.00001806	13	
17	0.00001806	13	
22	0.00001806	13	
17	0.00011806	85	
2	0.00011806	85	
17	0.00011806	85	
20	0.00000972	7	
33	0.00000972	7	
22	0.00000972	7	
8	0.00000972	7	
16	0.00004028	29	
41	0.00004028	29	
12	0.00004028	29	
30	0.00004028	29	
32	0.00007083	51	
15	0.00007083	51	
20	0.00007083	51	
25	0.00007083	51	
4	0.00007083	51	
4	0.00007083	51	
39	0.00003333	24	
6	0.00003333	24	
33	0.00003333	24	
21	0.00003333	24	
44	0.00006250	45	
29	0.00006250	45	
3	0.00006250	45	
26	0.00009306	67	
47	0.00009306	67	
30	0.00009306	67	
40	0.00012222	88	
42	0.00012222	88	
47	0.00012222	88	
45	0.00008472	61	
10	0.00008472	61	
8	0.00008472	61	
22	0.00008472	61	
4	0.00008472	61	
35	0.00008472	61	
34	0.00008472	61	
37	0.00004722	34	
44	0.00004722	34	
35	0.00004722	34	
17	0.00000694	5	
2	0.00000694	5	
36	0.00000694	5	
41	0.00000694	5	
49	0.00010833	78	
40	0.00010833	78	
31	0.00010833	78	
34	0.00010833	78	
26	0.00010833	78	
30	0.00010833	78	
35	0.00006806	49	
45	0.00006806	49	
3	0.00006806	49	
13	0.00006806	49	
3	0.00006806	49	
40	0.00006806	49	
23	0.00006806	49	
7	0.00006806	49	
29	0.00006806	49	
42	0.00006806	49	
22	0.00006806	49	
33	0.00006806	49	
29	0.00006806	49	
42	0.00006806	49	
23	0.00003056	22	
43	0.00003056	22	
25	0.00003056	22	
4	0.00003056	22	
28	0.00003056	22	
47	0.00003056	22	
20	0.00003056	22	
24	0.00003056	22	
18	0.00003056	22	
1	0.00003056	22	
37	0.00003056	22	
43	0.00013056	94	
29	0.00013056	94	
5	0.00013056	94	
20	0.00009167	66	
14	0.00009167	66	
18	0.00009167	66	
9	0.00005278	38	
12	0.00005278	38	
29	0.00005278	38	
11	0.00005278	38	
28	0.00008333	60	
42	0.00011389	82	
35	0.00011389	82	
44	0.00011389	82	
19	0.00007500	54	
2	0.00007500	54	
29	0.00007500	54	
49	0.00007500	54	
17	0.00003750	27	
14	0.00003750	27	
36	0.00003750	27	
43	0.00003750	27	
14	0.00003750	27	
39	0.00003750	27	
14	0.00003750	27	
17	0.00006806	49	
16	0.00006806	49	
36	0.00006806	49	
8	0.00006806	49	
3	0.00009722	70	
46	0.00009722	70	
5	0.00009722	70	
24	0.00005833	42	
26	0.00005833	42	
14	0.00005833	42	
38	0.00002083	15	
28	0.00002083	15	
23	0.00002083	15	
42	0.00002083	15	
Node ID	Battery Consumption (%)	TotalNumber of Transactions
28	0.00005278	38	
2	0.00005278	38	
23	0.00005278	38	
12	0.00005278	38	
17	0.00005278	38	
1	0.00001389	10	
47	0.00001389	10	
41	0.00001389	10	
25	0.00001389	10	
4	0.00004444	32	
44	0.00000556	4	
41	0.00000556	4	
32	0.00000556	4	
3	0.00003750	27	
4	0.00006806	49	
15	0.00006806	49	
4	0.00009722	70	
23	0.00009722	70	
46	0.00009722	70	
1	0.00009722	70	
17	0.00012778	92	
22	0.00012778	92	
17	0.00012778	92	
2	0.00002083	15	
17	0.00002083	15	
20	0.00002083	15	
33	0.00002083	15	
22	0.00002083	15	
8	0.00002083	15	
16	0.00005139	37	
41	0.00005139	37	
12	0.00001250	9	
30	0.00001250	9	
32	0.00001250	9	
15	0.00001250	9	
20	0.00011250	81	
25	0.00011250	81	
4	0.00011250	81	
4	0.00011250	81	
39	0.00011250	81	
6	0.00000556	4	
33	0.00000556	4	
21	0.00000556	4	
44	0.00000556	4	
29	0.00000556	4	
3	0.00000556	4	
26	0.00003611	26	
47	0.00003611	26	
30	0.00003611	26	
40	0.00009583	69	
42	0.00009583	69	
47	0.00009583	69	
45	0.00009583	69	
10	0.00009583	69	
8	0.00009583	69	
22	0.00009583	69	
4	0.00009583	69	
35	0.00005694	41	
34	0.00005694	41	
37	0.00005694	41	
44	0.00005694	41	
35	0.00005694	41	
17	0.00008750	63	
2	0.00008750	63	
36	0.00008750	63	
41	0.00005000	36	
49	0.00005000	36	
40	0.00005000	36	
31	0.00005000	36	
34	0.00005000	36	
26	0.00005000	36	
30	0.00008056	58	
35	0.00008056	58	
45	0.00008056	58	
3	0.00008056	58	
13	0.00008056	58	
3	0.00008056	58	
40	0.00008056	58	
23	0.00008056	58	
7	0.00008056	58	
29	0.00008056	58	
42	0.00010972	79	
22	0.00010972	79	
33	0.00010972	79	
29	0.00010972	79	
42	0.00010972	79	
23	0.00010972	79	
43	0.00010972	79	
25	0.00010972	79	
4	0.00010972	79	
28	0.00010972	79	
47	0.00010972	79	
20	0.00010972	79	
24	0.00010972	79	
18	0.00010972	79	
1	0.00000278	2	
37	0.00000278	2	
43	0.00000278	2	
29	0.00000278	2	
5	0.00000278	2	
20	0.00010139	73	
14	0.00010139	73	
18	0.00010139	73	
9	0.00013194	95	
12	0.00013194	95	
29	0.00013194	95	
11	0.00013194	95	
28	0.00002500	18	
42	0.00005556	40	
35	0.00001806	13	
44	0.00001806	13	
19	0.00001806	13	
2	0.00001806	13	
29	0.00004722	34	
49	0.00004722	34	
17	0.00004722	34	
14	0.00004722	34	
36	0.00004722	34	
43	0.00004722	34	
14	0.00004722	34	
39	0.00004722	34	
14	0.00004722	34	
